Open,High,Low,Close,Volume,Dividends,Stock Splits,time,time_str,loc_index,unix_time,Mid
66403.484375,66420.4453125,66403.1171875,66403.1171875,0,0.0,0.0,2024-07-24 09:35:00+00:00,09-35,115,1721813700.0,66411.78125
66378.5078125,66378.5078125,66364.5078125,66372.484375,0,0.0,0.0,2024-07-24 09:40:00+00:00,09-40,116,1721814000.0,66371.5078125
66374.8984375,66414.7421875,66374.8984375,66406.9140625,0,0.0,0.0,2024-07-24 09:45:00+00:00,09-45,117,1721814300.0,66394.8203125
66395.6640625,66446.953125,66395.6640625,66429.2890625,0,0.0,0.0,2024-07-24 09:50:00+00:00,09-50,118,1721814600.0,66421.30859375
66426.6015625,66426.953125,66423.59375,66426.5546875,0,0.0,0.0,2024-07-24 09:55:00+00:00,09-55,119,1721814900.0,66425.2734375
66415.0703125,66463.1328125,66415.0703125,66421.40625,0,0.0,0.0,2024-07-24 10:00:00+00:00,10-00,120,1721815200.0,66439.1015625
66394.2578125,66456.7578125,66394.2578125,66456.7578125,0,0.0,0.0,2024-07-24 10:05:00+00:00,10-05,121,1721815500.0,66425.5078125
66493.2734375,66495.046875,66489.8828125,66495.046875,0,0.0,0.0,2024-07-24 10:10:00+00:00,10-10,122,1721815800.0,66492.46484375
66479.296875,66494.2421875,66474.671875,66474.671875,12247040,0.0,0.0,2024-07-24 10:15:00+00:00,10-15,123,1721816100.0,66484.45703125
66547.9765625,66555.6640625,66437.3984375,66437.3984375,16365568,0.0,0.0,2024-07-24 10:20:00+00:00,10-20,124,1721816400.0,66496.53125
66434.3515625,66464.1171875,66433.5078125,66450.3515625,0,0.0,0.0,2024-07-24 10:25:00+00:00,10-25,125,1721816700.0,66448.8125
66432.2578125,66432.2578125,66393.6796875,66394.140625,0,0.0,0.0,2024-07-24 10:30:00+00:00,10-30,126,1721817000.0,66412.96875
66421.109375,66440.9296875,66421.109375,66440.9296875,854016,0.0,0.0,2024-07-24 10:35:00+00:00,10-35,127,1721817300.0,66431.01953125
66435.421875,66499.9375,66435.421875,66499.9375,0,0.0,0.0,2024-07-24 10:40:00+00:00,10-40,128,1721817600.0,66467.6796875
66479.9453125,66548.2578125,66479.9453125,66548.2578125,39450624,0.0,0.0,2024-07-24 10:45:00+00:00,10-45,129,1721817900.0,66514.1015625
66493.5390625,66509.6484375,66471.6640625,66495.2265625,0,0.0,0.0,2024-07-24 10:50:00+00:00,10-50,130,1721818200.0,66490.65625
66486.3671875,66498.46875,66485.3359375,66498.46875,5787648,0.0,0.0,2024-07-24 10:55:00+00:00,10-55,131,1721818500.0,66491.90234375
66504.9453125,66545.3984375,66465.859375,66465.859375,0,0.0,0.0,2024-07-24 11:00:00+00:00,11-00,132,1721818800.0,66505.62890625
66450.8125,66450.8125,66438.2734375,66447.4453125,0,0.0,0.0,2024-07-24 11:05:00+00:00,11-05,133,1721819100.0,66444.54296875
66531.7109375,66550.6015625,66528.2109375,66528.2109375,0,0.0,0.0,2024-07-24 11:10:00+00:00,11-10,134,1721819400.0,66539.40625
66529.8125,66531.15625,66517.6015625,66529.2265625,0,0.0,0.0,2024-07-24 11:15:00+00:00,11-15,135,1721819700.0,66524.37890625
66522.9921875,66550.71875,66522.9921875,66544.6875,0,0.0,0.0,2024-07-24 11:20:00+00:00,11-20,136,1721820000.0,66536.85546875
66535.8203125,66535.8203125,66476.5859375,66476.5859375,0,0.0,0.0,2024-07-24 11:25:00+00:00,11-25,137,1721820300.0,66506.203125
66462.1640625,66465.03125,66440.8359375,66440.8359375,0,0.0,0.0,2024-07-24 11:30:00+00:00,11-30,138,1721820600.0,66452.93359375
66459.078125,66469.1171875,66432.171875,66432.171875,0,0.0,0.0,2024-07-24 11:35:00+00:00,11-35,139,1721820900.0,66450.64453125
66428.4765625,66431.5625,66391.8359375,66431.5625,0,0.0,0.0,2024-07-24 11:40:00+00:00,11-40,140,1721821200.0,66411.69921875
66398.984375,66398.984375,66369.2109375,66392.046875,0,0.0,0.0,2024-07-24 11:45:00+00:00,11-45,141,1721821500.0,66384.09765625
66413.3203125,66471.171875,66386.3984375,66386.3984375,0,0.0,0.0,2024-07-24 11:50:00+00:00,11-50,142,1721821800.0,66428.78515625
66409.34375,66409.34375,66370.2578125,66397.7890625,0,0.0,0.0,2024-07-24 11:55:00+00:00,11-55,143,1721822100.0,66389.80078125
66378.5078125,66444.546875,66378.5078125,66444.546875,0,0.0,0.0,2024-07-24 12:00:00+00:00,12-00,144,1721822400.0,66411.52734375
66444.4921875,66464.484375,66417.0234375,66417.0234375,0,0.0,0.0,2024-07-24 12:05:00+00:00,12-05,145,1721822700.0,66440.75390625
